region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
Temporal,entropy__mse,amp__std,-0.4234,-0.5122,-0.3256,-0.3344,-8.1701,1.597684e-08,3.388135e-08,YES
Temporal,entropy__mse,amp__theta_power_4_8,-0.2293,-0.2738,-0.1838,-0.1950,-10.1098,2.570886e-10,6.969959e-10,YES
Temporal,entropy__mse,amp__theta_relative_4_8,-0.0335,-0.1025,0.0358,-0.0367,-0.9961,3.287382e-01,3.543675e-01,NO
Temporal,entropy__mse,amp__variance,-0.4210,-0.4900,-0.3468,-0.3406,-10.6104,9.570254e-11,2.795593e-10,YES
Temporal,entropy__sample_entropy,amp__alpha_power_8_13,-0.0588,-0.1528,0.0364,-0.0360,-1.2724,2.149309e-01,2.376156e-01,NO
Temporal,entropy__sample_entropy,amp__alpha_relative_8_13,0.0579,-0.0394,0.1542,0.0830,1.2254,2.318330e-01,2.550778e-01,NO
Temporal,entropy__sample_entropy,amp__beta_power_13_30,0.3115,0.2059,0.4099,0.3178,5.8563,4.148263e-06,6.653904e-06,YES
Temporal,entropy__sample_entropy,amp__beta_relative_13_30,0.4899,0.4174,0.5562,0.4698,12.0835,6.189340e-12,2.296367e-11,YES
Temporal,entropy__sample_entropy,amp__broadband_power_1_45,-0.2329,-0.2993,-0.1643,-0.1799,-6.8356,3.645946e-07,6.535602e-07,YES
Temporal,entropy__sample_entropy,amp__delta_power_1_4,-0.3432,-0.3839,-0.3012,-0.3348,-15.7046,1.850918e-14,1.210979e-13,YES
Temporal,entropy__sample_entropy,amp__delta_relative_1_4,-0.4594,-0.5284,-0.3845,-0.4134,-11.1994,3.109348e-11,1.007623e-10,YES
Temporal,entropy__sample_entropy,amp__hilbert_envelope_mean,-0.2618,-0.3806,-0.1344,-0.2087,-4.1568,3.308823e-04,4.630566e-04,YES
Temporal,entropy__sample_entropy,amp__low_gamma_power_30_45,0.4616,0.3596,0.5527,0.5231,8.3655,1.030629e-08,2.219808e-08,YES
Temporal,entropy__sample_entropy,amp__low_gamma_relative_30_45,0.6677,0.6149,0.7146,0.6628,18.4951,4.243074e-16,4.756830e-15,YES
Temporal,entropy__sample_entropy,amp__mean_abs,-0.2637,-0.3816,-0.1374,-0.2078,-4.2194,2.815310e-04,3.974781e-04,YES
Temporal,entropy__sample_entropy,amp__peak_to_peak,-0.2677,-0.3663,-0.1631,-0.2189,-5.1477,2.544705e-05,3.838340e-05,YES
Temporal,entropy__sample_entropy,amp__rms,-0.3238,-0.4322,-0.2063,-0.2601,-5.4626,1.131676e-05,1.751564e-05,YES
Temporal,entropy__sample_entropy,amp__std,-0.3235,-0.4318,-0.2059,-0.2599,-5.4576,1.146162e-05,1.771968e-05,YES
Temporal,entropy__sample_entropy,amp__theta_power_4_8,-0.2432,-0.2809,-0.2047,-0.2239,-12.6269,2.392706e-12,9.488476e-12,YES
Temporal,entropy__sample_entropy,amp__theta_relative_4_8,-0.1332,-0.2137,-0.0509,-0.1189,-3.3228,2.745810e-03,3.561482e-03,YES
Temporal,entropy__sample_entropy,amp__variance,-0.3319,-0.4173,-0.2407,-0.2702,-7.1458,1.726834e-07,3.200584e-07,YES
WholeBrain,entropy__mse,amp__alpha_power_8_13,-0.0827,-0.1555,-0.0091,-0.0645,-2.3126,2.926341e-02,3.484059e-02,YES
WholeBrain,entropy__mse,amp__alpha_relative_8_13,0.3418,0.2730,0.4070,0.3436,9.6555,6.474533e-10,1.674337e-09,YES
WholeBrain,entropy__mse,amp__beta_power_13_30,0.0858,0.0101,0.1606,0.1237,2.3338,2.794291e-02,3.336419e-02,YES
WholeBrain,entropy__mse,amp__beta_relative_13_30,0.5348,0.4892,0.5776,0.5119,19.8466,8.109453e-17,1.297329e-15,YES
WholeBrain,entropy__mse,amp__broadband_power_1_45,-0.4173,-0.4577,-0.3752,-0.4457,-18.3159,5.326280e-16,5.579144e-15,YES
WholeBrain,entropy__mse,amp__delta_power_1_4,-0.4200,-0.4598,-0.3785,-0.4726,-18.6716,3.398410e-16,4.050749e-15,YES
