region,entropy_measure,amplitude_measure,contrast,raw_mean_contrast,raw_p_value,beta0_adjusted_entropy,beta1_amplitude_coupling,beta0_t_stat,beta0_p_value,r2_explained_by_amplitude,retains_significance_p05
Parietal,entropy__mse,amp__alpha_relative_8_13,0_to_3,0.029450,2.682931e-02,-0.019818,-0.555029,-1.5918,1.245191e-01,0.3379,NO
Parietal,entropy__mse,amp__alpha_relative_8_13,2_to_3,0.011341,8.283229e-04,0.009610,0.134278,4.0475,4.673140e-04,0.0123,YES
Parietal,entropy__mse,amp__beta_relative_13_30,0_to_2,0.018109,1.413446e-01,-0.005108,1.696483,-0.7718,4.477946e-01,0.6742,NO
Parietal,entropy__mse,amp__beta_relative_13_30,0_to_3,0.029450,2.682931e-02,-0.004122,1.885992,-0.6259,5.373098e-01,0.7132,NO
Parietal,entropy__mse,amp__beta_relative_13_30,2_to_3,0.011341,8.283229e-04,0.006478,0.752082,2.9615,6.798661e-03,0.3109,YES
Temporal,entropy__sample_entropy,amp__rms,0_to_2,-0.010473,3.780821e-01,-0.005777,-0.055037,-0.7087,4.853287e-01,0.5373,NO
Temporal,entropy__sample_entropy,amp__rms,0_to_3,-0.004437,7.182962e-01,-0.004167,-0.055186,-0.4829,6.335240e-01,0.5169,NO
Temporal,entropy__sample_entropy,amp__rms,2_to_3,0.006036,1.818661e-01,0.006170,0.001673,1.2469,2.244581e-01,0.0002,NO
Temporal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,-0.010473,3.780821e-01,-0.007373,-0.003080,-0.8777,3.888153e-01,0.5054,NO
Temporal,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,-0.004437,7.182962e-01,-0.005586,-0.003169,-0.6162,5.435365e-01,0.4671,NO
Temporal,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.006036,1.818661e-01,0.004859,-0.000860,1.0316,3.125334e-01,0.0224,NO
Temporal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,-0.010473,3.780821e-01,-0.001185,-1.775459,-0.0875,9.310358e-01,0.0657,NO
Temporal,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,-0.004437,7.182962e-01,0.004772,-2.608848,0.4206,6.778184e-01,0.2379,NO
Temporal,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.006036,1.818661e-01,0.005187,-0.498544,1.1249,2.717737e-01,0.0192,NO
Temporal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,-0.010473,3.780821e-01,-0.027702,-0.477797,-2.0814,4.823066e-02,0.1718,YES
Temporal,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,-0.004437,7.182962e-01,-0.021089,-0.471231,-1.5228,1.408715e-01,0.1572,NO
Temporal,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.006036,1.818661e-01,0.005496,0.745345,1.2564,2.210800e-01,0.0587,NO
Temporal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,-0.010473,3.780821e-01,0.001916,1.600155,0.2626,7.951197e-01,0.6489,NO
Temporal,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,-0.004437,7.182962e-01,0.002481,1.730402,0.3661,7.175337e-01,0.7071,NO
Temporal,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.006036,1.818661e-01,0.001082,1.322971,0.4494,6.571514e-01,0.7307,NO
Temporal,entropy__mse,amp__rms,0_to_2,-0.010473,3.780821e-01,-0.030267,-0.047354,-3.8024,8.668536e-04,0.4741,YES
Temporal,entropy__mse,amp__rms,0_to_3,-0.004437,7.182962e-01,-0.028474,-0.046240,-3.7513,9.852121e-04,0.4925,YES
Temporal,entropy__mse,amp__rms,2_to_3,0.006036,1.818661e-01,0.004145,-0.018170,0.8695,3.931604e-01,0.0215,NO
Temporal,entropy__mse,amp__broadband_power_1_45,0_to_2,-0.010473,3.780821e-01,-0.031626,-0.002664,-3.9001,6.778950e-04,0.4507,YES
Temporal,entropy__mse,amp__broadband_power_1_45,0_to_3,-0.004437,7.182962e-01,-0.029639,-0.002587,-3.6590,1.241166e-03,0.4225,YES
Temporal,entropy__mse,amp__broadband_power_1_45,2_to_3,0.006036,1.818661e-01,0.003173,-0.001778,0.7214,4.776062e-01,0.1012,NO
Temporal,entropy__mse,amp__theta_relative_4_8,0_to_2,-0.010473,3.780821e-01,-0.024631,-1.849800,-2.0048,5.639502e-02,0.0849,NO
Temporal,entropy__mse,amp__theta_relative_4_8,0_to_3,-0.004437,7.182962e-01,-0.020031,-2.456269,-2.1252,4.405677e-02,0.2863,YES
Temporal,entropy__mse,amp__theta_relative_4_8,2_to_3,0.006036,1.818661e-01,0.005226,-0.223580,1.1548,2.595275e-01,0.0041,NO
Temporal,entropy__mse,amp__alpha_relative_8_13,0_to_2,-0.010473,3.780821e-01,-0.041066,-0.187413,-3.1150,4.714680e-03,0.0315,YES
Temporal,entropy__mse,amp__alpha_relative_8_13,0_to_3,-0.004437,7.182962e-01,-0.034511,-0.164430,-2.7006,1.248911e-02,0.0260,YES
Temporal,entropy__mse,amp__alpha_relative_8_13,2_to_3,0.006036,1.818661e-01,0.004633,1.344668,1.1807,2.493006e-01,0.2013,NO
