branch,region,entropy_measure,amplitude_measure,contrast,n,beta0_adjusted_entropy,beta1_amplitude,beta0_se,beta0_t,beta0_p,r2,beta0_q_global,beta0_q_within_entropy_region
event,Central,entropy__sample_entropy,amp__alpha_relative_8_13,2T_minus_2NT,26,-0.0002653198237685981,-0.1259447929065023,0.005682762812626567,-0.046688526781213234,0.9631478091269005,0.01273905798848518,0.992432708728732,0.9631478091269005
event,Central,entropy__sample_entropy,amp__alpha_relative_8_13,3T_minus_3NT,26,0.0046276407236336605,1.0292525815704852,0.0054032006874495855,0.8564628617964579,0.4002127425497319,0.25965035643890944,0.81416413846879,0.8919403976734919
event,Central,entropy__sample_entropy,amp__alpha_relative_8_13,Target_main,26,0.0025400904558940834,0.2927768150426467,0.004857425437577502,0.5229293765877915,0.6058180195420699,0.043262422612872276,0.9140798785670017,0.8919403976734919
event,Central,entropy__sample_entropy,amp__alpha_relative_8_13,Load_x_Target_interaction,26,0.003065294632065325,-0.041763300135715296,0.006808905166832942,0.45018906225875666,0.6566144189035794,0.0008301317056970126,0.9206188915933764,0.8919403976734919
event,Central,entropy__sample_entropy,amp__beta_relative_13_30,2T_minus_2NT,26,0.0015615745696132787,0.9917050762244065,0.0038959652396914585,0.40081840405150737,0.6920998688856616,0.5250041313477211,0.9340285841156052,0.8919403976734919
event,Central,entropy__sample_entropy,amp__beta_relative_13_30,3T_minus_3NT,26,0.002566827996308988,0.9132382336094735,0.005354687465884768,0.4793609361260573,0.636021087652545,0.2680491164230775,0.9182789667882898,0.8919403976734919
event,Central,entropy__sample_entropy,amp__beta_relative_13_30,Target_main,26,0.0020668962814321475,1.089721505664683,0.0035713986182632695,0.5787358125924503,0.5681595891183004,0.4694682227632353,0.8967072428516514,0.8919403976734919
event,Central,entropy__sample_entropy,amp__beta_relative_13_30,Load_x_Target_interaction,26,0.0014945423856220674,0.7217912077894266,0.005917192511850143,0.25257626528611377,0.8027463579061428,0.24047444000753448,0.9579011891260202,0.8919403976734919
event,Central,entropy__mse,amp__rms,2T_minus_2NT,26,-0.009496050325155419,-0.059022290852970484,0.005276050409391391,-1.7998407119561275,0.08447068598548495,0.6505537612612214,0.5845451517564954,0.70985550152445
event,Central,entropy__mse,amp__rms,3T_minus_3NT,26,0.0002850886071216051,-0.05730456029899742,0.006800586628190681,0.04192117867300132,0.9669083465924009,0.5165321225383908,0.9946831492985304,0.9669083465924009
event,Central,entropy__mse,amp__rms,Target_main,26,-0.004174721816200613,-0.05424750375682744,0.005082767986533636,-0.8213480975840695,0.41953259302702506,0.5659948278540907,0.8194721960678669,0.70985550152445
event,Central,entropy__mse,amp__rms,Load_x_Target_interaction,26,0.009505157807358063,-0.07034535902195815,0.006449774711839873,1.4737193517642426,0.15355352924363305,0.6256641733720927,0.7128581488461233,0.70985550152445
event,Central,entropy__mse,amp__broadband_power_1_45,2T_minus_2NT,26,-0.007809552219088594,-0.0013076140937422008,0.007038982421376897,-1.1094717604879265,0.278220400237305,0.37659825324088136,0.7742223638175123,0.70985550152445
event,Central,entropy__mse,amp__broadband_power_1_45,3T_minus_3NT,26,-0.0012953719728201285,-0.0013970882288983498,0.008587717216888587,-0.15084008242291125,0.8813625225825453,0.2777723965840291,0.9750735724202577,0.9277500237711003
event,Central,entropy__mse,amp__broadband_power_1_45,Target_main,26,-0.004362024557688782,-0.0013225317340688127,0.00632305083646429,-0.6898607445212206,0.496898851067115,0.3493435697923677,0.8581655666056145,0.70985550152445
event,Central,entropy__mse,amp__broadband_power_1_45,Load_x_Target_interaction,26,0.006778398080668454,-0.0014207027272392007,0.00908196292372091,0.7463582639127668,0.4626999351451051,0.26828763231632424,0.8330251740289092,0.70985550152445
event,Central,entropy__mse,amp__theta_relative_4_8,2T_minus_2NT,26,-0.008075547968293259,0.7543587662842178,0.009471236141273369,-0.852639280431618,0.4022884697818482,0.056010599475212586,0.81416413846879,0.70985550152445
event,Central,entropy__mse,amp__theta_relative_4_8,3T_minus_3NT,26,-0.006817199940477616,1.812823715469329,0.009656133155937996,-0.7059968861640449,0.4869873941565733,0.24635421334814134,0.8557404392834181,0.70985550152445
event,Central,entropy__mse,amp__theta_relative_4_8,Target_main,26,-0.008514390906682637,1.4742544632399275,0.008077018637013964,-1.0541502117705113,0.3023115885923081,0.18916363938974323,0.7856661387152625,0.70985550152445
